wall_time,seq,ts_ms,ax,ay,az,gx,gy,gz,ppg,dropped_before
1773933346.988212,28542,287499,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933346.9979892,28543,287509,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933347.00832,28544,287519,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933347.0183272,28545,287529,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933347.028018,28546,287539,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933347.0385184,28547,287549,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933347.0483432,28548,287559,0.0,0.0,0.0,0.0,0.0,0.0,148,0
1773933347.0586722,28549,287569,0.0,0.0,0.0,0.0,0.0,0.0,148,0
1773933347.0681589,28550,287579,0.0,0.0,0.0,0.0,0.0,0.0,148,0
1773933347.0781658,28551,287589,0.0,0.0,0.0,0.0,0.0,0.0,148,0
1773933347.0891826,28552,287599,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933347.0981314,28553,287609,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933347.1079926,28554,287619,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933347.1184983,28555,287629,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933347.1285899,28556,287639,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933347.1382296,28557,287649,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933347.1492667,28558,287659,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933347.1580591,28559,287669,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933347.168156,28560,287679,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933347.1785207,28561,287689,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933347.1879792,28562,287699,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933347.1981905,28563,287709,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933347.2082396,28564,287719,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933347.2182884,28565,287729,0.0,0.0,0.0,0.0,0.0,0.0,160,0
1773933347.2281206,28566,287739,0.0,0.0,0.0,0.0,0.0,0.0,160,0
1773933347.238494,28567,287749,0.0,0.0,0.0,0.0,0.0,0.0,160,0
1773933347.2481198,28568,287759,0.0,0.0,0.0,0.0,0.0,0.0,160,0
1773933347.258335,28569,287769,0.0,0.0,0.0,0.0,0.0,0.0,197,0
1773933347.26799,28570,287779,0.0,0.0,0.0,0.0,0.0,0.0,197,0
1773933347.2780852,28571,287789,0.0,0.0,0.0,0.0,0.0,0.0,197,0
1773933347.288089,28572,287799,0.0,0.0,0.0,0.0,0.0,0.0,197,0
1773933347.298314,28573,287809,0.0,0.0,0.0,0.0,0.0,0.0,245,0
1773933347.3083644,28574,287819,0.0,0.0,0.0,0.0,0.0,0.0,245,0
1773933347.3179169,28575,287829,0.0,0.0,0.0,0.0,0.0,0.0,245,0
1773933347.3281422,28576,287839,0.0,0.0,0.0,0.0,0.0,0.0,245,0
1773933347.3387957,28577,287849,0.0,0.0,0.0,0.0,0.0,0.0,297,0
1773933347.3480752,28578,287859,0.0,0.0,0.0,0.0,0.0,0.0,297,0
1773933347.3582547,28579,287869,0.0,0.0,0.0,0.0,0.0,0.0,297,0
1773933347.3682613,28580,287879,0.0,0.0,0.0,0.0,0.0,0.0,297,0
1773933347.3783486,28581,287889,0.0,0.0,0.0,0.0,0.0,0.0,380,0
1773933347.389128,28582,287899,0.0,0.0,0.0,0.0,0.0,0.0,380,0
1773933347.398234,28583,287909,0.0,0.0,0.0,0.0,0.0,0.0,380,0
1773933347.4080422,28584,287919,0.0,0.0,0.0,0.0,0.0,0.0,380,0
1773933347.4186592,28585,287929,0.0,0.0,0.0,0.0,0.0,0.0,543,0
1773933347.427989,28586,287939,0.0,0.0,0.0,0.0,0.0,0.0,543,0
1773933347.4381847,28587,287949,0.0,0.0,0.0,0.0,0.0,0.0,543,0
1773933347.4486964,28588,287959,0.0,0.0,0.0,0.0,0.0,0.0,543,0
1773933347.4583223,28589,287969,0.0,0.0,0.0,0.0,0.0,0.0,1318,0
